"CastingID","MovieID","ActorID","Character"
"1","1","1","Holly Golightly"
"2","1","2","Paul 'Fred' Varjak"
"3","1","3","Mr. Yunioshi"
"4","2","4","Rick Blaine"
"5","2","5","Ilsa Lund"
"6","2","6","Victor Laszlo"
"7","2","7","Capt. Renault"
"8","3","8","Harry Caul"
"9","3","9","Stan"
"10","3","10","Ann"
"11","3","11","Amy Fredericks"
"12","3","12","Martin Stett"
"13","3","13","'The Director'"
"14","4","14","Robert Clayton Dean"
"15","4","8","Edward 'Brill' Lyle"
"16","4","15","Thomas Brian Reynolds"
"17","4","16","Rachel F. Banks"
"18","5","17","Sonny Wortzik"
"19","5","9","Sal"
"20","6","18","Don Vito Corleone"
"21","6","17","Michael Corleone"
"22","6","19","Santino 'Sonny' Corleone"
"23","6","13","Tom Hagen"
"24","6","9","Fredo"
"25","6","20","Nazorine"
"26","7","21","Dr. Julian Winston"
"27","7","5","Stephanie Dickinson"
"28","7","22","Toni Simmons"
"29","7","23","Igor Sullivan"
"30","7","20","Señor Sánchez"
"31","8","26","The Dude"
"32","8","27","Donny"
"33","8","28","Walter Sobchak"
"34","8","29","Maude Lebowski"
"35","9","30","Marge Gunderson"
"36","9","31","Jerry Lundegaard"
"38","9","27","Carl Showalter"
"40","10","33","Martin Brody"
"41","10","34","Quint"
"42","10","35","Matt Hooper"
"43","10","36","Ellen Brody"
"44","10","37","Larry Vaughn"
"45","10","38","Mike Brody"
"46","10","39","Sean Brody"
"47","12","12","Indiana Jones"
"48","12","41","Marion Ravenwood"
"49","12","42","Dr. Rene Belloq"
"50","12","43","Major Toht"
"51","12","44","Sallah"
"52","12","45","Dr. Marcus Brody"
