country,gender,math,read,science
ALB,female,179.583,247.571,335.468
ALB,male,308.247,258.472,315.021
ALB,male,267.514,284.67,358.675
ALB,female,272.649,321.547,214.823
ALB,female,435.473,464.366,434.997
ALB,male,534.112,451.263,479.075
ALB,male,381.584,390.962,342.015
ALB,female,273.196,308.07,322.52
ALB,female,355.148,429.286,360.621
ALB,female,429.818,419.511,385.801
ALB,male,424.584,381.25,346.282
ALB,male,463.382,393.913,414.088
ALB,male,236.252,247.459,287.562
ALB,male,326.677,285.698,326.622
ALB,female,476.146,465.97,446.343
ALB,female,303.243,333.731,339.62
ALB,male,326.014,341.592,393.777
ALB,female,548.982,496.025,569.146
ALB,female,427.944,399.316,386.248
ALB,female,454.79,324.947,369.242
ALB,male,428.219,485.041,468.358
ALB,male,277.674,315.16,357.593
ALB,male,395.366,480.506,385.787
ALB,female,393.616,304.929,357.383
ALB,female,467.187,366.765,446.156
ALB,female,327.993,342.172,297.839
ALB,female,334.308,313.378,411.839
ALB,female,269.733,389.203,347.836
ALB,male,383.154,360.404,393.49
ALB,female,402.684,473.892,420.803
ALB,male,300.762,319.562,253.513
ALB,male,329.297,334.713,325.135
ALB,male,487.11,458.4,564.702
ALB,female,346.436,289.479,288.81
ALB,female,412.816,416.713,481.49
ALB,male,337.924,335.73,301.525
ALB,female,324.855,326.256,331.36
ALB,female,263.158,259.322,288.159
ALB,female,486.735,448.637,452.956
ALB,female,449.271,602.322,467.898
ALB,female,297.913,355.167,386.943
ALB,male,310.132,289.373,301.562
ALB,female,367.716,393.544,415.205
ALB,male,314.378,283.785,288.33
ALB,male,173.727,233.897,226.836
ALB,female,390.065,372.299,451.967
ALB,female,347.095,263.034,235.877
ALB,male,328.316,386.938,297.42
ALB,male,366.396,360.915,373.689
ALB,female,427.801,346.035,392.672
ALB,female,371.292,294.094,334.845
ALB,female,290.545,270.705,379.06
ALB,female,458.33,487.835,443.422
ALB,male,328.866,333.745,287.329
ALB,male,286.534,278.268,345.238
ALB,female,389.708,461.356,409.31
ALB,male,370.096,381.068,425.744
ALB,male,279.973,270.544,320.706
ALB,male,437.036,355.97,347.196
ALB,male,438.081,486.575,484.279
ALB,male,299.337,340.848,361.621
ALB,female,308.862,376.972,391.672
ALB,female,346.687,338.3,395.277
ALB,female,302.876,405.763,425.562
ALB,male,380.965,338.714,328.205
ALB,male,445.007,424.491,398.097
ALB,female,322.475,335.659,314.501
ALB,female,479.828,578.389,540.288
ALB,female,369.24,452.507,384.212
ALB,male,494.572,421.997,510.367
ALB,female,368.044,297.308,380.637
ALB,female,467.805,245.922,435.238
ALB,male,277.936,322.878,280.189
ALB,male,472.62,428.001,498.843
ALB,female,412.236,438.45,412.709
ALB,male,276.549,305.147,375.285
ALB,female,412.257,299.498,406.365
ALB,male,210.297,304.121,246.571
ALB,male,305.262,251.073,334.898
ALB,female,589.353,446.119,491.857
ALB,male,410.642,364.907,463.159
ALB,male,331.593,314.401,324.108
ALB,female,313.529,251.854,264.048
ALB,male,283.325,237.718,287.936
ALB,male,403.513,314.496,307.78
ALB,male,304.146,319.198,303.203
ALB,male,204.946,235.316,274.307
ALB,male,348.173,342.504,311.215
ALB,male,477.958,426.031,401.296
ALB,male,284.666,352.728,337.763
ALB,female,414.682,344.571,375.589
ALB,male,398.165,335.329,330.485
ALB,female,292.785,365.286,353.589
ALB,male,381.493,335.495,357.968
ALB,male,317.59,351.272,304.13
ALB,male,388.119,327.795,362.194
ALB,female,311.233,386.088,355.497
ALB,male,364.226,309.273,396.128
ALB,female,391.368,315.785,375.949
ALB,female,353.215,270.485,316.703
ALB,female,320.537,332.959,274.621
ALB,male,421.612,425.777,396.846
ALB,female,302.194,337.121,347.144
ALB,female,330.457,320.463,337.525
ALB,male,223.033,309.316,229.102
ALB,male,452.464,308.978,320.439
ALB,female,433.262,440.987,489.925
ALB,male,515.661,391.54,421.684
ALB,female,362.891,334.404,357.205
ALB,male,496.426,357.676,542.089
ALB,male,257.987,97.496,272.916
ALB,female,468.042,384.308,541.146
ALB,male,295.899,323.636,304.999
ALB,male,462.607,474.235,496.418
ALB,male,293.468,230.514,260.342
ALB,female,300.962,280.085,317.945
ALB,female,317.23,360.929,327.111
ALB,male,206.626,252.446,259.541
ALB,male,269.833,183.97,315.356
ALB,female,374.139,415.844,325.787
ALB,female,349.987,317.894,401.999
ALB,female,255.155,335.703,397.877
ALB,male,235.576,306.499,216.152
ALB,male,337.628,221.074,362.183
ALB,female,304.125,320.253,361.086
ALB,female,321.931,398.146,360.688
ALB,male,408.151,319.058,423.438
ALB,female,329.257,371.743,320.479
ALB,female,382.854,452.866,372.064
ALB,female,267.155,252.979,255.985
ALB,male,459.772,426.023,455.969
ALB,male,339.403,356.15,345.477
ALB,female,492.625,515.303,462.575
ALB,male,426.804,361.531,407.842
ALB,female,440.155,439.207,401.477
ALB,female,330.89,348.153,336.747
ALB,male,275.162,311.928,319.747
ALB,male,397.051,382.53,473.667
ALB,female,452.453,399.207,429.723
ALB,female,571.79,363.57,516.956
ALB,female,323.693,270.143,316.74
ALB,male,333.423,322.737,363.521
ALB,male,609.936,401.135,490.221
ALB,male,334.491,337.432,316.255
ALB,male,338.348,418.621,307.289
ALB,female,335.45,246.568,374.522
ALB,male,253.539,364.938,327.846
ALB,male,256.297,277.271,275.348
ALB,female,283.678,243.296,248.673
ALB,male,275.434,292.833,333.743
ALB,male,271.757,300.303,258.339
ALB,female,450.216,439.409,437.176
ALB,male,312.823,218.384,312.47
ALB,female,278.201,297.619,297.435
ALB,female,368.254,427.98,426.308
ALB,female,403.684,456.333,476.038
ALB,male,394.616,333.873,339.418
ALB,male,446.282,353.529,359.991
ALB,female,374.723,392.997,394.312
ALB,female,362.334,350.035,427.711
ALB,female,453.094,457.288,423.864
ALB,female,246.92,231.782,346.828
ALB,male,322.47,212.083,342.603
ALB,male,238.05,361.838,285.543
ALB,female,595.297,471.248,537.675
ALB,male,431.776,448.749,327.015
ALB,female,279.217,237.044,337.253
ALB,male,458.107,373.051,346.951
ALB,male,353.285,342.945,356.442
ALB,male,308.891,340.586,368.327
ALB,male,343.465,306.5,359.861
ALB,female,387.657,397.637,457.491
ALB,male,201.587,236.484,240.518
ALB,male,283.423,277.336,359.247
ALB,female,309.996,334.746,320.603
ALB,female,312.181,235.016,245.193
ALB,male,236.602,408.487,359.707
ALB,male,353.305,275.173,390.536
ALB,male,230.232,261.387,381.648
ALB,male,218.403,377.115,290.692
ALB,female,450.695,469.222,408.275
ALB,male,196.869,236.426,273.639
ALB,male,299.711,312.41,279.066
ALB,male,265.465,257.054,291.582
ALB,female,430.721,392.38,472.732
ALB,female,322.861,353.755,380.434
ALB,female,240.229,304.426,260.882
ALB,female,557.086,587.162,463.826
ALB,female,426.427,397.568,355.963
ALB,female,453.141,375.831,340.279
ALB,male,278.102,272.792,380.736
ALB,male,444.082,336.018,471.589
ALB,female,373.829,383.12,325.698
ALB,male,259.02,324.371,318.448
ALB,female,383.508,409.11,454.482
ALB,male,252.122,298.044,286.974
ALB,male,383.37,302.097,352.67
ALB,male,552.841,480.169,511.03
ALB,male,259.993,217.599,290.218
ALB,female,514.38,462.159,563.955
ALB,male,422.886,398.452,369.841
ALB,female,491.108,478.957,455.943
ALB,female,287.956,300.713,251.497
ALB,female,398.017,368.988,406.197
ALB,male,287.184,287.518,238.487
ALB,male,440.819,389.399,397.478
ALB,female,439.612,533.302,425.582
ALB,female,486.456,445.345,421.672
ALB,male,327.969,288.094,250.715
ALB,male,497.527,418.315,542.157
ALB,female,408.124,396.14,479.876
ALB,female,206.061,238.181,268.389
ALB,male,459.77,378.847,447.612
ALB,male,361.699,331.63,317.469
ALB,male,384.043,384.266,346.888
ALB,female,346.968,325.156,360.155
ALB,female,382.275,380.53,380.253
ALB,male,279.864,308.905,274.279
ALB,male,341.709,293.853,358.483
ALB,female,409.071,440.541,358.158
ALB,female,306.429,206.975,269.544
ALB,male,284.44,182.283,304.993
ALB,female,422.696,443.381,368.73
ALB,female,415.777,501.968,455.981
ALB,female,452.883,410.336,421.544
ALB,male,254.084,268.576,282.399
ALB,female,324.909,349.923,317.358
ALB,male,372.928,329.23,363.168
ALB,female,421.981,424.655,509.205
ALB,male,343.044,355.15,377.057
ALB,male,611.972,563.053,483.563
ALB,female,355.157,370.145,379.023
ALB,female,346.753,334.043,301.443
ALB,female,395.958,381.619,405.344
ALB,male,318.244,366.698,296.655
ALB,male,470.488,432.325,435.983
ALB,female,490.294,492.098,449.02
ALB,male,489.144,436.669,460.063
ALB,male,405.524,338.433,393.198
ALB,male,555.339,407.113,587.494
ALB,female,242.783,267.826,300.287
ALB,male,447.597,364.465,459.997
ALB,female,437.805,426.866,402.316
ALB,female,501.921,422.025,489.72
ALB,female,400.829,421.864,389.005
ALB,male,299.161,333.305,293.279
ALB,female,467.046,465.104,434.376
ALB,female,333.564,417.648,341.13
ALB,male,331.076,417.202,322.824
ALB,female,399.378,402.622,423.025
ALB,male,345.453,256.995,319.856
ALB,female,429.916,382.932,408.935
ALB,female,558.281,479.253,522.456
ALB,male,369.406,321.957,365.021
ALB,male,456.971,459.471,496.363
ALB,female,401.411,442.856,467.503
ALB,female,409.493,478.603,414.913
ALB,male,360.888,211.537,303.888
ALB,male,350.714,266.906,273.284
ALB,male,265.991,267.451,273.303
ALB,female,267.847,332.798,343.651
ALB,male,222.709,271.936,262.792
ALB,male,322.042,306.522,309.703
ALB,female,416.897,422.849,491.124
ALB,female,452.919,284.024,418.295
ALB,female,509.11,529.167,522.572
ALB,male,425.495,401.123,418.287
ALB,female,297.103,302.032,312.335
ALB,male,363.338,291.047,400.13
ALB,female,289.424,296.486,329.616
ALB,male,481.545,458.098,501.197
ALB,female,309.23,375.049,417.575
ALB,male,384.61,423.979,424.546
ALB,male,414.072,329.755,311.136
ALB,female,511.368,472.565,469.146
ALB,female,277.689,397.175,334.731
ALB,male,515.011,435.496,574.762
ALB,female,435.745,409.539,368.405
ALB,female,308.278,284.508,242.475
ALB,male,583.884,511.95,515.209
ALB,male,487.583,426.116,422.918
ALB,female,314.826,301.185,344.27
ALB,male,255.821,231.926,338.391
ALB,male,229.472,351.445,305.417
ALB,male,277.071,197.155,302.02
ALB,female,378.109,322.982,410.935
ALB,male,215.784,291.883,333.134
ALB,male,270.336,262.876,262.292
ALB,female,417.114,417.949,399.432
ALB,male,281.965,311.775,337.849
ALB,female,306.817,342.506,404.907
ALB,male,348.764,394.669,427.949
ALB,male,264.458,199.636,283.734
ALB,female,256.718,292.852,341.105
ALB,female,328.733,390.162,319.197
ALB,male,358.273,275.889,401.36
ALB,male,398.067,325.363,281.782
ALB,male,339.519,346.079,381.413
ALB,female,274.854,207.252,255.02
ALB,female,383.444,468.224,467.476
ALB,male,316.028,239.052,366.728
ALB,female,386.196,485.73,526.328
ALB,male,254.769,346.891,325.492
ALB,male,447.12,447.54,458.323
ALB,male,318.07,341.867,312.371
ALB,male,370.227,228.331,403.811
ALB,female,426.441,323.425,412.388
ALB,male,358.87,373.83,397.088
ALB,male,392.325,400.304,419.87
ALB,female,233.301,349.09,351.839
ALB,male,645.033,598.914,576.681
ALB,male,295.768,259.277,370.81
ALB,female,384.794,393.746,290.163
ALB,female,369.509,317.69,328.709
ALB,male,378.512,352.454,434.59
ALB,female,262.647,247.393,379.049
ALB,male,499.362,497.453,572.475
ALB,female,489.795,517.152,487.293
ALB,female,252.079,279.357,290.504
ALB,female,238.227,267.878,265.725
ALB,male,456.259,380.113,369.499
ALB,female,306.267,370.707,313.631
ALB,female,430.199,497.652,443.009
ALB,female,391.097,382.818,400.105
ALB,female,471.876,426.688,403.997
ALB,male,430.9,342.967,399.253
ALB,male,359.259,318.436,366.652
ALB,female,635.745,536.145,575.598
ALB,male,244.028,214.58,288.482
ALB,male,428.58,343.236,355.371
ALB,female,414.92,410.318,467.147
ALB,male,394.93,229.024,388.302
ALB,female,330.72,413.132,231.267
ALB,female,357.768,367.564,449.874
ALB,female,458.175,404.047,490.089
ALB,male,509.196,511.653,422.785
ALB,male,328.838,340.222,216.668
ALB,female,277.883,325.515,345.07
ALB,female,495.973,433.962,464.173
ALB,male,330.641,393.427,389.51
ALB,male,400.379,425.657,439.128
ALB,male,306.206,327.336,288.89
ALB,female,336.574,341.096,335.479
ALB,female,220.832,422.905,236.073
ALB,male,366.046,292.091,278.053
ALB,male,288.352,340.226,299.2
ALB,male,304.136,304.442,323.776
ALB,male,479.396,438.677,504.208
ALB,male,212.324,274.965,269.851
ALB,female,448.413,392.106,419.235
ALB,male,336.297,275.177,373.715
ALB,female,265.891,342.611,223.864
ALB,female,353.326,371.743,319.01
ALB,female,312.544,352.488,401.437
ALB,female,254.778,360.625,234.233
ALB,male,367.264,340.08,401.275
ALB,male,239.997,305.054,325.682
ALB,male,478.795,436.075,430.061
ALB,male,353.978,278.188,291.955
ALB,female,540.637,499.494,435.765
ALB,male,555.595,502.701,488.618
ALB,female,387.148,386.677,439.423
ALB,female,318.592,371.128,344.926
ALB,male,248.89,141.764,200.733
ALB,male,490.447,346.536,520.528
ALB,female,408.469,420.884,427.917
ALB,male,213.699,276.759,240.215
ALB,male,279.478,289.765,231.302
ALB,female,339.482,337.232,378.556
ALB,female,473.337,416.279,378.346
ALB,female,469.082,453.53,410.036
ALB,male,370.993,345.823,363.484
ALB,male,174.931,138.5,193.599
ALB,male,432.456,371.944,445.689
ALB,male,351.8,331.481,375.322
ALB,male,286.125,320.834,275.138
ALB,male,397.196,488.183,433.831
ALB,male,250.499,325.273,281.446
ALB,female,416.134,458.843,457.083
ALB,female,381.36,343.81,384.068
ALB,female,349.44,357.667,311.423
ALB,male,391.066,380.489,327.792
ALB,male,342.225,269.172,318.278
ALB,female,369.616,317.709,286.34
ALB,male,370.278,286.05,310.564
ALB,male,241.557,286.46,225.12
ALB,male,297.31,285.495,292.364
ALB,female,255.674,289.976,391.297
ALB,female,419.997,486.289,469.662
ALB,male,300.061,302.753,229.116
ALB,male,426.912,498.873,524.628
ALB,male,372.246,258.816,308.169
ALB,male,293.602,313.74,302.504
ALB,female,313.658,243.719,279.963
ALB,female,328.133,374.647,370.914
ALB,female,405.681,294.493,341.19
ALB,male,413.633,337.241,452.594
ALB,female,437.687,443.279,416.843
ALB,male,304.883,328.104,324.475
ALB,female,275.895,302.15,268.715
ALB,male,371.01,337.37,379.238
ALB,male,352.891,369.048,303.937
ALB,female,481.078,528.61,457.348
ALB,female,348.339,390.216,334.215
ALB,female,284.046,334.793,278.623
ALB,female,312.357,303.389,387.843
ALB,male,367.392,302.605,355.385
ALB,male,382.478,326.527,341.374
ALB,male,319.837,306.036,310.392
ALB,female,523.499,354.341,352.927
ALB,female,338.369,305.505,299.284
ALB,female,396.959,445.136,570.591
ALB,female,310.719,300.601,219.951
ALB,female,343.657,275.578,330.085
ALB,male,313.466,304.845,351.274
ALB,female,419.178,357.972,339.117
ALB,female,443.503,591.147,506.378
ALB,male,334.895,331.237,411.797
ALB,female,458.128,543.412,514.087
ALB,male,288.603,359.642,328.5
ALB,female,373.269,206.728,392.78
ALB,female,401.161,441.629,373.587
ALB,female,334.145,291.394,313.164
ALB,male,446.767,392.697,424.376
ALB,female,262.257,325.056,337.742
ALB,female,341.345,428.783,366.125
ALB,female,346.056,406.824,369.108
ALB,male,245.777,250.468,295.769
ALB,female,306.422,394.814,405.021
ALB,male,444.356,437.885,394.231
ALB,male,178.528,252.098,290.707
ALB,male,260.467,231.933,175.94
ALB,female,462.789,324.042,477.214
ALB,female,388.315,345.999,330.495
ALB,male,268.398,292.861,348.083
ALB,female,391.094,310.077,371.95
ALB,male,355.927,355.633,460.096
ALB,male,245.961,236.02,273.055
ALB,male,231.472,381.392,306.414
ALB,female,345.407,308.711,377.805
ALB,male,512.663,436.472,486.732
ALB,male,237.869,348.142,301.145
ALB,male,479.139,394.252,341.716
ALB,female,414.383,447.682,347.722
ALB,male,443.906,466.99,452.174
ALB,female,337.455,396.702,372.981
ALB,male,264.635,242.133,275.635
ALB,female,419.762,352.555,437.88
ALB,male,284.169,210.057,408.035
ALB,female,312.989,417.325,435.847
ALB,female,358.562,439.576,342.884
ALB,female,296.227,336.099,315.449
ALB,female,392.062,343.809,354.624
ALB,female,357.295,454.187,342.993
ALB,female,385.126,379.366,549.681
ALB,male,347.803,283.741,341.397
ALB,female,334.276,329.816,371.959
ALB,female,481.552,463.765,375.49
ALB,female,299.498,415.252,317.939
ALB,female,308.356,311.27,302.618
ALB,male,381.139,370.601,351.554
ALB,male,470.297,446.464,516.227
ALB,male,382.001,255.372,425.412
ALB,female,260.17,257.656,240.28
ALB,male,295.026,333.379,316.778
ALB,female,439.341,403.169,521.307
ALB,male,299.724,218.769,253.16
ALB,female,442.683,541.52,418.941
ALB,male,266.533,366.94,217.802
ALB,female,258.727,274.266,262.64
ALB,male,530.845,434.248,530.241
ALB,female,304.907,345.535,379.087
ALB,female,436.654,371.967,418.419
ALB,female,379.677,314.513,430.98
ALB,female,360.89,321.303,419.547
ALB,female,388.211,510.417,436.411
ALB,male,182.583,284.711,273.628
ALB,female,423.438,364.34,328.346
ALB,male,482.385,361.159,454.544
ALB,male,269.435,235.204,340.102
ALB,male,413.757,290.304,339.9
ALB,female,410.401,373.184,359.183
ALB,female,577.002,534.934,547.527
ALB,female,354.917,359.324,396.785
ALB,female,375.541,407.045,343.289
ALB,male,308.296,339.66,268.807
ALB,female,325.706,279.888,429.831
ALB,male,354.687,384.351,285.263
ALB,male,198.278,258.833,287.74
ALB,female,339.367,451.385,354.157
ALB,female,262.655,236.959,319.541
ALB,male,275.157,237.888,304.172
ALB,female,341.205,348.709,258.729
ALB,male,558.247,524.278,583.521
ALB,female,468.687,393.115,499.049
ALB,male,435.692,402.698,459.731
ALB,female,323.124,404.482,369.616
ALB,male,317.078,313.505,333.13
ALB,female,329.183,352.472,433.827
ALB,female,267.484,262.156,286.821
ALB,female,274.594,377.384,380.752
ALB,female,534.937,441.511,513.692
ALB,female,336.357,350.349,332.824
ALB,male,204.493,196.403,327.525
ALB,male,324.24,388.982,329.004
ALB,female,419.052,360.403,360.46
ALB,male,305.626,367.229,232.489
ALB,male,271.816,231.313,260.935
ALB,female,332.13,341.976,361.817
ALB,female,491.858,509.862,407.571
ALB,female,423.643,488.547,427.305
ALB,female,400.22,360.974,359.156
ALB,male,392.14,420.505,394.122
ALB,male,291.521,358.049,383.582
ALB,male,391.446,445.256,382.419
ALB,male,264.626,344.755,361.141
ALB,male,579.417,428.867,505.648
ALB,male,180.81,237.737,115.009
ALB,male,273.393,290.584,287.367
ALB,female,552.399,514.937,571.43
ALB,male,353.911,257.966,356.853
ALB,female,368.596,396.72,370.761
ALB,female,417.968,433.123,474.162
ALB,female,374.352,341.576,429.99
ALB,female,403.41,375.242,360.236
